令和4年度の日本におけるリンゴの収穫量1位は青森県ですが、2位はどこでしょう？,岩手県,秋田県,山形県,長野県,長野県,長野県が約12.4万トンで2位でした。ちなみに岩手県は4.15万トンで3位、秋田県は2.1万トンで5位、山形県は3.65万トンで4位です。青森県は約39.9万トンと、2位を大きく引き離しています。
公式設定によると、ハローキティの身長は「リンゴ何個分」でしょう？,3個分,5個分,10個分,30個分,5個分,青森県のホームページによると、リンゴの一品種・ふじの大きさはおよそ8.5センチメートルだそうです。つまりこれが5個分ということは、ハローキティの身長は42.5センチメートルほどということになります。なお、りんご30個分だと255センチメートルとなり、人間よりも大きくなってしまいます。
食酢の主成分である「酢酸」の化学式は、次のうちのどれでしょう？,HCOOH,CH₃COOH,CH₃OH,CH₃CH₂OH,CH₃COOH,HCOOHはギ酸(蟻酸)、CH₃OHはメチルアルコール(メタノール)、CH₃CH₂OHはエチルアルコール(エタノール)の化学式です。なお、ギ酸は皮膚に触れると炎症を起こし、メチルアルコールは有毒で、飲むと最悪の場合死に至ることがあります。
次のうち、トマトと同じ「ナス科」の植物はどれでしょう？,タバコ,アサ,ケシ,スイカ,タバコ,アサはクワ科、ケシはケシ科、スイカはウリ科の植物です。
「かずのこ」とは、何という魚の卵巣を原料としている食品でしょう？,鮪,鰊,鱈,鰰,鰊,「鰊」は「ニシン」と読みます。ちなみに「鮪」はマグロ、「鱈」はタラ、「鰰」はハタハタです。
次の4人のうち、『ピーマン体操』というタイトルの楽曲を歌唱しているのは誰でしょう？,星野アイ,MEMちょ,黒川あかね,有馬かな,有馬かな,『ピーマン体操』は、アニメ『【推しの子】』に登場する楽曲で、選択肢の人物はいずれも同作品に登場するキャラクターです。
俳句などにおいて、「枝豆」はいつの季語でしょう？,春,夏,秋,冬,秋,現代では主に夏に食される枝豆ですが、実は秋の季語なのです。
次の動物のうち、その肉が俗に「桜」や「桜肉」と呼ばれるのはどれでしょう？,馬,豚,鶏,熊,馬,その語源には諸説あり、肉の色が桜の花の色に似ているからとも、「咲いた桜になぜ駒つなぐ、駒が勇めば花が散る」の里謡からともいわれています。なお、「駒」は馬の古い言い方です。
カクテルの一種・ギムレットは、ジンに何の果実の果汁を加えてシェークしたものでしょう？,パイナップル,レモン,オレンジ,ライム,ライム,ちなみにジンとオレンジジュースを合わせたカクテルは「オレンジブロッサム」、ジンとシャンパン、レモンジュース、砂糖(シュガーシロップ)を合わせたカクテルは「フレンチ75」と呼ばれます。
次のうち、麵料理の一種・オッチャホイの発祥地であるとされる「シンガポール食堂」が存在する県はどこでしょう？,新潟県,富山県,石川県,三重県,新潟県,「オッチャホイ」は、きし麺のような太く平たい麺を使用し、もやし、ニラ、キャベツなどの野菜を炒め合わせた麺料理です。新潟県新発田(しばた)市にある食堂「シンガポール食堂」がその発祥地とされています。
飲み物の一種「サイダー(cider)」とは、元々どのような飲み物のことを指していたでしょう？,水,酒,油,茶,酒,「cider」という単語は、本来「リンゴ酒(リンゴ汁を発酵させたアルコール飲料)」のことを指していましたが、日本ではふつう、炭酸水に砂糖などを加えた清涼飲料水の一種のことを指します。
野菜の一種「パクチー」は、元々何語に由来する呼び名でしょう？,タイ語,中国語,ベトナム語,ビルマ語,タイ語,「パクチー」という語はタイ語に由来するものです。ちなみに、日本語では「コエンドロ」、英語では「コリアンダー」、中国語では「シャンツァイ」と呼ばれます。
紅茶の一種・ダージリンの名前の由来となった都市・ダージリンがある国はどこでしょう？,カンボジア,ベトナム,タイ,インド,インド,ダージリンはインド北東部にある都市で、ヒマラヤ山脈山麓の標高2248メートルの高地にあるために夏は涼しく、避暑地となっています。
春の七草の一つ・スズナとは、何という野菜の別名でしょう？,ダイコン,カブ,ゴボウ,ニンジン,カブ,スズナはカブの別名で、漢字では「鈴菜」や「菘」と書きます。
次のうち、日本で食品添加物として添加されることが認められている物質はどれでしょう？,赤色1号,青色1号,黄色1号,緑色1号,青色1号,「青色1号」はタール色素に分類される合成着色料の一種で、「ブリリアントブルーFCF」とも呼ばれます。天然には存在しない添加物です。なお、多量に摂取しない限り発がん性などの毒性は無いと思われますが、心配な方などは極力避けるようにすると良いかもしれません。
果物の一種・ドリアンは、別名として「果物の何」と呼ばれているでしょう？,果物の王様,果物の姫,果物の女王,果物の悪魔,果物の王様,ドリアンと言えば独特の臭気があるというイメージが強いかもしれませんが、その果肉は甘く、生食のほかジャムやアイスクリームなどにも使用されるそうです。
次のうち、「アワビ」と読む漢字はどれでしょう？,蠣,蛤,蜆,蚫,蚫,「蠣」は「カキ」、「蛤」は「ハマグリ」、「蜆」は「シジミ」と読みます。なお「アワビ」は、「鮑」「鰒」「石決明」とも表記します。
次のうち、『メロンジュース』という楽曲をリリースしているアイドルグループはどれでしょう？,AKB48,SKE48,NMB48,HKT48,HKT48,HKT48は福岡市を拠点として2011年に誕生したアイドルグループで、過去には指原莉乃や田中美久などが在籍していました。なお、『メロンジュース』は2013年にリリースされた楽曲です。
主にハンバーガーを提供する次の4つのファストフードチェーンのうち、主力商品の一つとして「ワッパー」を提供しているのはどこでしょう？,マクドナルド,バーガーキング,モスバーガー,ドムドムハンバーガー,バーガーキング,バーガーキングは、1954年にアメリカ・フロリダ州で誕生したファストフードチェーンで、日本には1993年に上陸しました。
中華料理の一種・チンジャオロースーを漢字で書いたときに出てくる色は何でしょう？,赤,藍,青,黒,青,「青椒肉絲」と書きます。「絲」は「糸」の旧字です。
